wiki_commons_id,wiki_data_q,depicts
85181875,"['Q820885', 'Q86445']","['Sascha Benecken', 'Toni Eggert']"
117315652,['Q111645922'],['Mountain-landscape with two girls']
65572242,['Q47450666'],['The interior of the church of Santa Maria Sopra Minerva in Rome']
117476384,"['Q41176', 'Q253843', 'Q47107', 'Q467', 'Q8441', 'Q8436', 'Q5849500', 'Q924568']","['building', 'satellite dish', 'bucket', 'woman', 'man', 'family', 'cloth', 'Nzulezo']"
69541219,['Q37457558'],['Grave of Fischer family with statue of Christ in Libčice nad Vltavou']
65849475,['Q480260'],['local coat of arms']
53123910,['Q15451615'],['Dendrobium alexandrae']
50667137,['Q15953660'],['Église Saint-Germain de Boury-en-Vexin']
99737764,['Q88224090'],['Chapelle funéraire de la famille Benoist']
71991625,['Q116998235'],['W22 (locomotive)']
142103081,"['Q5004679', 'Q3241565', 'Q1854225']","['path', 'woodland', 'Rushcliffe']"
21124837,['Q28764559'],['The Veiled Nun']
128269316,"['Q637187', 'Q1739564', 'Q546109', 'Q631917', 'Q362395']","['National Archaeological Museum of Athens', 'Keros-Syros culture', 'Keros', 'diaulos', 'Cycladic idols']"
131263431,"['Q105889895', 'Q1211272', 'Q16970', 'Q427849']","['religious site', 'signage', 'church building', 'Brentwood']"
107688683,"['Q203443', 'Q68815645']","['tombstone', 'Haddington']"
70062215,"['Q55017959', 'Q219477', 'Q20734516', 'Q2259532']","['T. Phillips', 'missionary', 'Thomas Phillips', 'cleric']"
128152298,"['Q61851329', 'Q22002423']","['Yannick Müller', 'Armin Frauscher']"
45784159,['Q3050235'],['Walls of Ávila']
134510463,"['Q188509', 'Q79007', 'Q126269']","['suburb', 'street', 'Wolverhampton']"
108119559,"['Q11451', 'Q355304', 'Q2415081']","['agriculture', 'watercourse', 'Swallowfield']"
106777526,['Q94442192'],[None]
108114465,['Q107863904'],['Ende Gelände protest camp Brunsbüttel 2021']
74672030,['Q102300890'],['Joel Jauk']
108947356,['Q108177096'],['Muntisel public garden']
121886944,['Q1549084'],['Hipparchia fagi']
112707966,"['Q181348', 'Q4447103']","['viaduct', 'Nidd']"
133515438,['Q525'],['Sun']
26896350,['Q663264'],['Siemensdamm']
71954137,['Q3504520'],['Nitin Gadkari']
73922548,['Q870879'],['2018 Summer Youth Olympics']
115450238,['Q41388959'],['St. Oswald und Martin']
74779565,"['Q12053089', 'Q6348636']","['Jean-Luc Baker', 'Kaitlin Hawayek']"
145020823,"['Q11451', 'Q2123282']","['agriculture', 'Eccleshall']"
113482234,['Q671326'],['Reinosa']
130769483,"['Q15324', 'Q1092661', 'Q3253281', 'Q206998', 'Q1807863']","['body of water', 'moorland', 'artificial pond', 'Erica', 'Whorlton']"
131042604,['Q117826866'],['Fudō-ji']
44210951,['Q173350'],['printed circuit board']
4294781,['Q1511468'],['Mercedes-Benz 190 SL']
23677458,['Q17374086'],['Nederlands Hervormde Kerk']
115669825,['Q4007396'],['Roya valley']
121706250,['Q113571307'],['Noelia Juan']
49714957,['Q57336'],['Ali Khamenei']
133423464,"['Q34442', 'Q68815827']","['road', 'Kilmore and Kilbride']"
131305137,"['Q93352', 'Q11451', 'Q1468524', 'Q47053', 'Q56240104', 'Q2920359']","['coast', 'agriculture', 'city center', 'estuary', 'aerial view', 'Pagham']"
118178507,"['Q355304', 'Q16896785']","['watercourse', 'Llanfoist Fawr']"
88999525,['Q17063430'],['Cases Ramos']
103646827,"['Q175185', 'Q3986304']","['rural area', 'Magheraveely']"
50722012,['Q9258830'],['Luiz Felipe Fonteles']
117157933,['Q7777019'],['meadow']
112612061,"['Q3947', 'Q6094284']","['house', 'Itchen Valley']"
144697370,"['Q655686', 'Q894164']","['commercial building', 'Borrowdale']"
145162262,['Q47105682'],['Yazan Abu Arab']
49235034,"['Q46686', 'Q2711324', 'Q5989518']","['reredos', 'Alejo Fernández', 'Rodrigo Fernández de Santaella']"
114165812,"['Q1468524', 'Q1656682', 'Q179351']","['city center', 'event', 'City of Westminster']"
113156866,"['Q188509', 'Q4260475', 'Q2834810']","['suburb', 'medical facility', 'Bradford']"
104931171,['Q1673721'],['Isar bridge Unterföhring']
33856960,['Q314348'],['Marcel Granollers']
126643740,"['Q1081138', 'Q34442', 'Q190684']","['historic site', 'road', 'County Down']"
2488764,"['Q229686', 'Q123593375']","['Shizuka Arakawa', 'Kerrigan spirals']"
62932385,['Q1549852'],['San Anton Palace']
81958149,['Q12280'],['bridge']
118810532,"['Q1548824', 'Q28557', 'Q620424']","['Großer Plessower See', 'Phragmites australis', 'reedbed']"
33856070,['Q13430802'],['Aston Martin V12 Vanquish']
78980096,['Q167270'],['trademark']
76140853,['Q58371501'],['Ralfs Nemiro']
45573011,"['Q16508758', 'Q820477']","['Magura', 'mine']"
23767070,['Q17442693'],"['Julianastraat 31, Stramproy']"
127874598,['Q109249312'],['Rue des Sorrières']
110171486,"['Q11451', 'Q1549155']","['agriculture', 'Thurrock']"
138002682,"['Q3947', 'Q188509', 'Q1000115']","['house', 'suburb', 'Faversham']"
110466336,['Q3364861'],['Area naturale protetta di interesse locale Sterpaia']
2070110,['Q113409665'],['Santa Maria Maddalena']
12749652,['Q17393106'],"['Hoogstraat 67, Haastrecht']"
103184525,"['Q207326', 'Q3369173']","['summit', 'Patrick']"
126321342,"['Q111466568', 'Q623270']","['Kyano Schepers', 'horizontal bar']"
21613733,['Q43111124'],['Second compound of the medieval fortifications of Sibiu']
116945097,"['Q55075651', 'Q1307347', 'Q11451', 'Q53060', 'Q2238052']","['upland', 'boundary', 'agriculture', 'gate', ""St John's Castlerigg and Wythburn""]"
107358367,"['Q3947', 'Q7620664']","['house', 'Stow Hill']"
18459390,['Q38110704'],"['Wampertes Kreuz, Neuessling']"
115888845,"['Q1081138', 'Q1935728', 'Q468533']","['historic site', 'stone circle', 'Uig']"
14590907,"['Q697813', 'Q1726']","['Arnulfpark', 'Munich']"
127901027,"['Q5004679', 'Q22698', 'Q149555']","['path', 'park', 'Drumbeg']"
134380669,"['Q5004679', 'Q11451', 'Q2792303']","['path', 'agriculture', 'Alderminster']"
105350492,['Q91122'],['bunker']
131977437,"['Q11451', 'Q3239189', 'Q7368', 'Q2168658']","['agriculture', 'grazing', 'sheep', 'Tarrant Rushton']"
61825248,['Q37727824'],"['Saint Peter Church, Kaymakchalan']"
122776317,['Q107379884'],['2022 UEC Track Elite European Championships']
130546275,['Q1283210'],['Jin Boyang']
18811341,['Q108822663'],['Ash Avenue Bridge Abutment']
23424974,['Q17616061'],['Hervormde kerk']
141861139,['Q20055561'],['Rishi Sunak']
130660059,['Q655318'],['still rings']
42282810,['Q18276752'],['Aleksey Rogov']
72848457,['Q3361044'],"[""Inquisitor's Palace""]"
142723864,"['Q3947', 'Q34442', 'Q360418', 'Q181071']","['house', 'road', 'construction site', 'New Romney']"
50364555,['Q16844517'],"[""Boone's Mounds""]"
90527431,"['Q41466', 'Q5595257', 'Q81904335', 'Q81905704', 'Q81902735', 'Q81905843', 'Q81907473']","['ice hockey', 'grand final', 'Olivia Klaar', 'Pandora Nåtby', 'Pusle Dyring-Andersen', 'Riri Noro', 'Masaki Tanabe']"
64140416,['Q125142'],['Tūī']
138176364,"['Q3947', 'Q208955']","['house', 'London Borough of Redbridge']"
116676044,"['Q34442', 'Q1933241']","['road', 'Ancroft']"
144094732,"['Q34442', 'Q1311670', 'Q12280', 'Q2337761']","['road', 'rail infrastructure', 'bridge', 'Molland']"
135950706,"['Q34442', 'Q89021600', 'Q2556821']","['road', 'B road', 'Aberdaron']"
134071517,"['Q3241565', 'Q2658408']","['woodland', 'Gamston']"
527617,['Q144'],['dog']
60195933,['Q506'],['flower']
109690476,['Q25438029'],"[""Mosaics of St. Michael's Golden-Domed Monastery in Kyiv""]"
133369763,"['Q655686', 'Q212198', 'Q5444365']","['commercial building', 'pub', 'Fermanagh and Omagh']"
23342022,['Q17613279'],['Sint Pieters- en Bloklandsgasthuis']
114694559,['Q218'],['Romania']
113407018,['Q110126233'],['A Village Evening']
94929542,"['Q95920618', 'Q3323309']","['Monument du Souvenir', 'Monument to the Dead of Père Lachaise']"
80541027,['Q10306987'],['Joana Balaguer']
131891482,"['Q3709010', 'Q115200']","['Copake', 'Columbia County']"
21719083,['Q772781'],['Yeni-Kale']
39546873,['Q239415'],['Shane West']
49246516,['Q185024'],['Ivan Konev']
131290920,"['Q93352', 'Q8148', 'Q44782', 'Q47053', 'Q478029']","['coast', 'industrial sector', 'port', 'estuary', 'Falmouth']"
40006154,['Q20818771'],['Trans Am Totem']
87052104,['Q84322257'],['Younn Locard']
37778119,"['Q18129271', 'Q434354', 'Q3303777', 'Q266873']","['Leah Williamson', 'Alex Scott', 'Meadow Park', 'Yūki Nagasato']"
134991434,['Q115467668'],['WikiConference India 2023']
82686907,['Q20653347'],['Saint Matthew church in Wrocław']
93448952,['Q27245468'],"['Mozart monument, Dresden']"
87287634,['Q11745597'],['Church of the Immaculate Conception of the Blessed Virgin Mary']
142275544,['Q6023683'],['Ulu Camii']
72757422,['Q55139145'],['Palazzo dei Capitani della Montagna']
17732307,['Q100936739'],['Oberwachwitzer Weg']
136674073,['Q7904034'],['Uxbridge Road']
106908072,"['Q131862', 'Q2788656']","['triangulation station', 'Ribbesford']"
113218691,"['Q93352', 'Q1656682', 'Q68815923']","['coast', 'event', 'Kirkbean']"
1169283,['Q628219'],['Yotam Halperin']
125264831,"['Q269777', 'Q3970821', 'Q38']","['San Lorenzo al Mare', 'San Lorenzo-Cipressa railway station', 'Italy']"
14770497,['Q104372703'],['Tennis Court Oath']
87545479,"['Q85803433', 'Q148571', 'Q2051212', 'Q85803433']","['public staircase', 'fence', 'handrail', 'public staircase']"
